REGIAO_ORIGEM,UF,DATE,TMIN,TMAX,PREC
Campo das Vertentes,MG,1970-07-02,14.344334391986623,26.26889357847326,1208.3001825669232
Caparaó,ES,1970-07-02,14.62733724640637,25.212252547101276,1422.1727801067073
Ceará,CE,1970-07-02,20.59222887983226,31.550504125729955,647.0297321358113
Cerrado Mineiro,MG,1970-07-02,16.2598537065968,28.811277286853358,1193.9889463183797
Chapada Diamantina,BA,1970-07-02,16.706536413568546,26.720163146802484,882.5399483039033
Chapada de Minas,MG,1970-07-02,16.11217055677095,28.24135236366788,1017.4610647832795
Conilon Capixaba,ES,1970-07-02,19.290634331879794,28.766032890037255,1199.8490108913845
Goiás,GO,1970-07-02,17.514861030333687,29.39443225768749,1357.506163081235
Mantiqueira de Minas,MG,1970-07-02,12.845866184968214,25.426663655501144,1370.5703641451323
Marília e Garça,SP,1970-07-02,16.567548412746852,29.25660769144694,1349.1714653862848
Matas de Minas,MG,1970-07-02,15.392374939018197,26.474665955230073,1177.8998314917505
Matas de Rondônia,RO,1970-07-02,20.563798744091088,32.26845713629239,1709.7712264351223
Mato Grosso,MT,1970-07-02,20.19878691472442,32.27631902394048,1721.4606895110046
Montanhas de Minas,MG,1970-07-02,15.773151257880649,27.292497308630693,1125.8126894154943
Montanhas do Espírito Santo,ES,1970-07-02,16.163917121887206,25.41020741780599,1514.178087565104
Média Mogiana,SP,1970-07-02,14.239381479180377,26.05453238279923,1671.5147147800612
Noroeste/Norte do Rio de Janeiro,RJ,1970-07-02,18.352180058443093,28.660094080092033,994.8311983905261
Norte Pioneiro do Paraná,PR,1970-07-02,15.377103142704524,27.809835596287503,1502.6846923828125
Norte e Noroeste de Minas,MG,1970-07-02,17.29741624991099,30.332640533094054,1155.2499129683883
Oeste da Bahia,BA,1970-07-02,16.71762775227348,30.31018046771779,1002.7463538021965
Ourinhos e Avaré,SP,1970-07-02,15.574765636074927,27.372181574503582,1310.3047728179604
Paraná,PR,1970-07-02,15.902380377054214,27.869833074117963,1479.9917929799933
Pernambuco,PE,1970-07-02,18.541684106680062,28.511093257023738,754.8561603252705
Pinhal,SP,1970-07-02,15.024615324460543,26.80691359593318,1645.840548001803
Planalto Central,DF,1970-07-02,16.60048203998142,27.82611776281286,1493.6186297381366
Planalto de Vitória da Conquista,BA,1970-07-02,16.78533358741225,26.773594488177384,816.0998130932189
Rondônia,RO,1970-07-02,21.049304609487855,32.5431858936488,1875.999230402521
Serrana de Itiruçu/Brejões,BA,1970-07-02,17.446194338244062,26.633308698964672,952.9570397665334
Serrana do Rio de Janeiro,RJ,1970-07-02,14.893133107353659,26.08361719168869,1137.3173995672487
Sul de Minas,MG,1970-07-02,13.939854374694825,26.096523422241212,1284.1591256835939
Sul do Rio de Janeiro,RJ,1970-07-02,15.255597579173553,26.754594705043694,1070.9815000876401
Acre,AC,1971-07-02,19.855589696510354,30.479850558180306,1868.1472011546994
Alta Mogiana,SP,1971-07-02,15.732626306599585,27.571556880556304,1523.8694626380657
Atlântico Baiano,BA,1971-07-02,17.94805496250658,30.496512190936365,1182.0142749803795
Campo das Vertentes,MG,1971-07-02,14.114806189256555,26.37947982900283,1337.921630859375
Caparaó,ES,1971-07-02,14.40263443458371,25.186891788389623,1485.4609553639482
Ceará,CE,1971-07-02,20.509161669798573,29.667551329641633,1203.4830457899307
Cerrado Mineiro,MG,1971-07-02,16.160743777549538,28.586953453395676,1304.5371512024053
Chapada Diamantina,BA,1971-07-02,16.225996577606768,29.089041727626192,507.96274302883216
Chapada de Minas,MG,1971-07-02,15.823039509647682,28.740130843301685,955.8257803377307
Conilon Capixaba,ES,1971-07-02,18.666029470938224,28.542790748454905,1236.648932562934
Goiás,GO,1971-07-02,17.292367658109956,29.032044482652104,1321.1954081184792
Mantiqueira de Minas,MG,1971-07-02,12.424152722725502,25.666756079747127,1217.5829174335186
Marília e Garça,SP,1971-07-02,15.584384303622775,28.95005357530382,1407.1179117838542
Matas de Minas,MG,1971-07-02,15.219283650805066,26.797303699946905,1226.5087685751748
Matas de Rondônia,RO,1971-07-02,19.181488396464914,30.811508836608002,1690.743210413836
Mato Grosso,MT,1971-07-02,19.07616806992366,31.193741599969275,1881.1564315661205
Montanhas de Minas,MG,1971-07-02,15.64314934006311,27.498770150923193,1225.5550828517828
Montanhas do Espírito Santo,ES,1971-07-02,15.87652239481608,25.142315622965494,1550.4802522786458
Média Mogiana,SP,1971-07-02,13.925851770069288,26.087054874586023,1336.9490011463995
Noroeste/Norte do Rio de Janeiro,RJ,1971-07-02,18.491649374177186,28.850306619571732,1323.7722461555577
Norte Pioneiro do Paraná,PR,1971-07-02,14.10782793734936,27.70958194326847,1276.5586127964318
Norte e Noroeste de Minas,MG,1971-07-02,17.117115727177374,30.26905617007503,1309.7833390412507
Oeste da Bahia,BA,1971-07-02,17.858430849677102,29.908050769153125,998.2326150985963
Ourinhos e Avaré,SP,1971-07-02,14.961534192485194,27.23234627836494,1192.3192138671875
Paraná,PR,1971-07-02,15.262538549147154,27.424550225860195,1588.8546971772846
Pernambuco,PE,1971-07-02,18.558859605055588,28.36958506657527,831.146121450571
Pinhal,SP,1971-07-02,14.534797338338999,26.87710505265456,1259.5823552058293
Planalto Central,DF,1971-07-02,16.641485567446107,27.295437848126447,1532.5081945348668
Planalto de Vitória da Conquista,BA,1971-07-02,15.471268093376828,28.454353265595017,592.3684312251576
Rondônia,RO,1971-07-02,20.176489936794443,31.046686094385343,1871.9841617088782
Serrana de Itiruçu/Brejões,BA,1971-07-02,16.3545903272407,29.609422794608182,625.1467778405478
Serrana do Rio de Janeiro,RJ,1971-07-02,14.881980204114727,26.318469215841855,1474.0880485983455
Sul de Minas,MG,1971-07-02,13.603651647186279,26.22960736999512,1223.7600751953125
Sul do Rio de Janeiro,RJ,1971-07-02,15.209538875482021,26.938179065019657,1364.276891463842
Acre,AC,1972-07-01,19.510606315267744,30.92727109295639,1893.0248068037943
Alta Mogiana,SP,1972-07-01,16.211290474595696,27.372683689512055,1804.0646341258082
Atlântico Baiano,BA,1972-07-01,19.092352166023428,30.92893625720995,1225.5098918758026
Campo das Vertentes,MG,1972-07-01,14.09520710215849,26.174817590152514,1569.3748869054457
Caparaó,ES,1972-07-01,14.745033892189584,25.572469292617427,1358.8284018911966
Ceará,CE,1972-07-01,20.444121775000987,30.116493937945126,781.3515625
Cerrado Mineiro,MG,1972-07-01,16.444877764699868,28.738950427274528,1422.7429833580002
Chapada Diamantina,BA,1972-07-01,16.31589177284099,28.845359298819503,735.9867129414498
Chapada de Minas,MG,1972-07-01,16.30119251441277,28.877696712670378,934.9455904380283
Conilon Capixaba,ES,1972-07-01,19.355697260962593,29.16964520348443,1011.4066693341291
Goiás,GO,1972-07-01,17.576122407928516,29.549331003743227,1535.9283240549446
Mantiqueira de Minas,MG,1972-07-01,12.932380951367891,25.51976225926326,1534.2227384127104
Marília e Garça,SP,1972-07-01,15.86187547047933,28.658610407511393,1912.4478488498264
Matas de Minas,MG,1972-07-01,15.430588795588566,26.693068377621525,1236.0272028996394
Matas de Rondônia,RO,1972-07-01,19.95408727120662,31.180880427706068,2231.2734045940897
Mato Grosso,MT,1972-07-01,19.871269809342873,31.717314219865642,2310.812664017551
Montanhas de Minas,MG,1972-07-01,15.641959557855936,27.33891925596653,1375.2845136599433
Montanhas do Espírito Santo,ES,1972-07-01,16.18295312245687,26.05728167215983,1410.8216927083333
Média Mogiana,SP,1972-07-01,14.406797585280046,26.15685562465502,1579.798066512398
Noroeste/Norte do Rio de Janeiro,RJ,1972-07-01,18.608295573463923,28.884330242494993,1210.1087337445608
Norte Pioneiro do Paraná,PR,1972-07-01,14.487824812003062,27.392043404545344,1716.3448746052195
Norte e Noroeste de Minas,MG,1972-07-01,17.043955480610883,30.20368786211367,1499.5621840865524
Oeste da Bahia,BA,1972-07-01,18.143337113334532,30.71075247443296,1045.7139222660167
Ourinhos e Avaré,SP,1972-07-01,15.254241635722499,27.04248167878838,1819.4012175529233
Paraná,PR,1972-07-01,15.763959713672337,27.53033430011649,1802.487080624229
Pernambuco,PE,1972-07-01,18.63810879633977,28.256848878126878,838.913848407452
Pinhal,SP,1972-07-01,15.075481231396015,26.843888136056755,1551.143291766827
Planalto Central,DF,1972-07-01,17.00889751646254,28.478799749303747,1353.5571266456886
Planalto de Vitória da Conquista,BA,1972-07-01,16.381933396322687,28.401020242456806,630.974021643923
Rondônia,RO,1972-07-01,20.263458436220333,31.427007817947477,2215.63994224973
Serrana de Itiruçu/Brejões,BA,1972-07-01,17.051578588263933,29.510056806165117,889.8254444211028
Serrana do Rio de Janeiro,RJ,1972-07-01,15.39694528018727,26.166292938531615,1593.0375785079657
Sul de Minas,MG,1972-07-01,13.69456533203125,26.094521087646484,1569.8325654296875
Sul do Rio de Janeiro,RJ,1972-07-01,15.743258867508326,26.920633071508163,1569.9364483173076
Acre,AC,1973-07-02,19.885761725842652,30.08014856511025,1884.5773876707758
Alta Mogiana,SP,1973-07-02,16.1686686811776,28.104634778252965,1745.9464890052532
Atlântico Baiano,BA,1973-07-02,21.44993869137002,27.665748596191406,1271.1301445111837
Campo das Vertentes,MG,1973-07-02,15.802419662475586,25.151774041792926,1396.7663376752068
Caparaó,ES,1973-07-02,15.759866481874047,24.316608521996475,1310.534659036776
Ceará,CE,1973-07-02,20.81344082379582,29.876726978957052,1511.8769469598326
Cerrado Mineiro,MG,1973-07-02,17.169942730455418,28.534073930349408,1424.1640524538407
Chapada Diamantina,BA,1973-07-02,17.82444843660943,26.216022512726624,733.5609839910911
Chapada de Minas,MG,1973-07-02,18.016355812507168,27.693590331162422,974.816212371066
Conilon Capixaba,ES,1973-07-02,20.019636931242765,28.661731861255788,1072.9590154577184
Goiás,GO,1973-07-02,18.680343177881134,28.623160452559517,1532.4259170360779
Mantiqueira de Minas,MG,1973-07-02,14.455995394633366,25.475327198322002,1383.3836975097656
Marília e Garça,SP,1973-07-02,16.921033138699002,28.544859737820097,1329.7262505425347
Matas de Minas,MG,1973-07-02,16.094200987915894,26.2920970649986,1216.375198897782
Matas de Rondônia,RO,1973-07-02,20.23914845784505,30.579268662825875,2337.9616398465805
Mato Grosso,MT,1973-07-02,20.145766478318436,31.3002551079999,2053.495699138088
Montanhas de Minas,MG,1973-07-02,16.59373188018799,27.01506027063929,1429.300400812823
Montanhas do Espírito Santo,ES,1973-07-02,16.622682558695477,25.30884422302246,1392.7949300130208
Média Mogiana,SP,1973-07-02,15.023865896722544,26.397591507953145,1478.0817088251529
Noroeste/Norte do Rio de Janeiro,RJ,1973-07-02,19.2019958616812,28.44186864925336,1037.4637288926524
Norte Pioneiro do Paraná,PR,1973-07-02,16.309733255535154,25.55248348425466,1574.4930428579344
Norte e Noroeste de Minas,MG,1973-07-02,18.090344305391664,29.756924284829033,1453.068352593316
Oeste da Bahia,BA,1973-07-02,18.96530513712429,28.987589586227337,1006.0036743490454
Ourinhos e Avaré,SP,1973-07-02,16.001205608408938,26.34425973379484,1434.9077502835182
Paraná,PR,1973-07-02,16.25597859840644,27.62885629189642,1627.0867492274235
Pernambuco,PE,1973-07-02,19.34948334327111,28.765263454730693,770.0723623422476
Pinhal,SP,1973-07-02,15.95500685618474,26.89752930861253,1476.495633638822
Planalto Central,DF,1973-07-02,18.422165199562354,25.670762062072754,1434.6813264069733
Planalto de Vitória da Conquista,BA,1973-07-02,18.978297041173565,26.964931036296644,614.7312770642733
Rondônia,RO,1973-07-02,20.424439526031357,30.823906083939857,2208.1938218832474
Serrana de Itiruçu/Brejões,BA,1973-07-02,19.13988228731377,26.01526462200076,794.6134160951126
Serrana do Rio de Janeiro,RJ,1973-07-02,16.275316088807347,25.159615011776197,1422.5267477596508
Sul de Minas,MG,1973-07-02,14.870098421478271,26.135756451416015,1456.135755859375
Sul do Rio de Janeiro,RJ,1973-07-02,16.62826667687832,26.2536808405167,1470.8977927183494
Acre,AC,1974-07-02,19.675333588566613,29.45127114578707,1942.252440486122
Alta Mogiana,SP,1974-07-02,15.928625337008771,27.848453719040442,1462.9525798929149
Atlântico Baiano,BA,1974-07-02,20.446922668038983,26.162686874877373,1621.5244717532642
Campo das Vertentes,MG,1974-07-02,15.235378461725572,25.239130216486313,1256.4942932128906
Caparaó,ES,1974-07-02,13.808481472294504,25.967093118807163,1262.1478479897103
Ceará,CE,1974-07-02,20.337209778602677,28.69741385874122,1862.3735067964803
Cerrado Mineiro,MG,1974-07-02,16.01643609408266,28.04396637033972,1232.708793940258
Chapada Diamantina,BA,1974-07-02,17.024215776237856,25.160749385791195,995.0712278004472
Chapada de Minas,MG,1974-07-02,17.086977455030556,27.265238694703452,956.0808387403387
Conilon Capixaba,ES,1974-07-02,19.454885535769993,28.470478976214373,1034.2370786313656
Goiás,GO,1974-07-02,17.300313912846303,28.403061366196045,1465.6884073958543
Mantiqueira de Minas,MG,1974-07-02,13.440389431439913,25.05291593991793,1329.2926166240986
Marília e Garça,SP,1974-07-02,16.29574705759684,28.46335423787435,1653.1360270182292
Matas de Minas,MG,1974-07-02,15.170070401438466,26.507874188723264,1006.9889193448154
Matas de Rondônia,RO,1974-07-02,19.680561629585597,29.178783488619153,2634.698142408288
Mato Grosso,MT,1974-07-02,20.132279072553484,29.618997306871837,2367.590324488444
Montanhas de Minas,MG,1974-07-02,16.152377632327546,26.414275309196988,1129.9259407215548
Montanhas do Espírito Santo,ES,1974-07-02,15.994921124776205,25.527506891886393,1346.4423372395834
Média Mogiana,SP,1974-07-02,14.172349774319192,26.244193989297617,1412.7864605447521
Noroeste/Norte do Rio de Janeiro,RJ,1974-07-02,17.80362655543074,28.885318659528902,880.6058187364023
Norte Pioneiro do Paraná,PR,1974-07-02,15.06057337497143,26.270000430709082,1566.0181460549645
Norte e Noroeste de Minas,MG,1974-07-02,17.48567647404141,28.940919275637025,1276.62062242296
Oeste da Bahia,BA,1974-07-02,18.084938737797863,27.767829560978527,1328.629796482025
Ourinhos e Avaré,SP,1974-07-02,15.147244258593487,26.991139422180833,1507.0231710454468
Paraná,PR,1974-07-02,15.460504993012076,27.46638307132219,1583.2812016135767
Pernambuco,PE,1974-07-02,18.486632567185623,27.49306250352126,1083.7888324444111
Pinhal,SP,1974-07-02,14.640374000255878,26.930255523094765,1334.6453012319712
Planalto Central,DF,1974-07-02,16.83683301784374,26.821047359042698,1331.4196076569733
Planalto de Vitória da Conquista,BA,1974-07-02,18.28941858023928,26.03844964713381,833.5286388731839
Rondônia,RO,1974-07-02,19.884704742992984,29.485277457795537,3234.454855930477
Serrana de Itiruçu/Brejões,BA,1974-07-02,18.146315840787665,24.875640159429505,975.3406797896984
Serrana do Rio de Janeiro,RJ,1974-07-02,15.394802673190247,25.645748923806583,1216.3296772077972
Sul de Minas,MG,1974-07-02,14.026469857788086,25.800807318115233,1265.6543669921875
Sul do Rio de Janeiro,RJ,1974-07-02,15.916511877989157,26.215567319821087,1192.149647248097
Acre,AC,1975-07-02,19.627547062821126,30.521050141684373,2015.9281493527205
Alta Mogiana,SP,1975-07-02,14.52022884631979,28.294656687769397,1383.9140161974676
Atlântico Baiano,BA,1975-07-02,19.87137257127457,27.446772962944692,1553.8734267422053
Campo das Vertentes,MG,1975-07-02,14.376133652294383,26.348404183107263,1251.1395927877986
Caparaó,ES,1975-07-02,13.963764609360114,25.32164731839808,1326.5294606278583
Ceará,CE,1975-07-02,20.12259803155456,29.647641788829457,1196.3245307074653
Cerrado Mineiro,MG,1975-07-02,15.82835106326433,28.50133920752484,1177.9081856863838
Chapada Diamantina,BA,1975-07-02,16.329435848392077,26.372391895733802,761.8961523119845
Chapada de Minas,MG,1975-07-02,16.43149988167651,28.057167958704177,950.6950979864046
Conilon Capixaba,ES,1975-07-02,18.963655047946506,28.502538716351545,1154.7917977792245
Goiás,GO,1975-07-02,16.90444968332257,29.260479346898357,1299.296624491341
Mantiqueira de Minas,MG,1975-07-02,12.584258079528809,25.618445836580715,1290.1339158278245
Marília e Garça,SP,1975-07-02,16.393139542473687,29.484942457411023,1206.8074815538193
Matas de Minas,MG,1975-07-02,15.011688732600712,26.46578513992416,1139.032116016308
Matas de Rondônia,RO,1975-07-02,19.684393443231997,30.719441676485367,2559.4505272022193
Mato Grosso,MT,1975-07-02,19.740610181608837,31.553103707928074,2071.7403523660396
Montanhas de Minas,MG,1975-07-02,15.504799070214867,27.104538222004596,1227.5257890744317
Montanhas do Espírito Santo,ES,1975-07-02,15.511310717264811,25.54312459309896,1415.0160652669272
Média Mogiana,SP,1975-07-02,14.313877852066703,26.493741470834482,1354.471650496773
Noroeste/Norte do Rio de Janeiro,RJ,1975-07-02,18.19133878056007,28.24128126796288,1225.6601763375197
Norte Pioneiro do Paraná,PR,1975-07-02,15.2261491193839,27.598569274794126,1397.2730305989583
Norte e Noroeste de Minas,MG,1975-07-02,16.83496160860415,30.30836404694451,1147.896991305881
Oeste da Bahia,BA,1975-07-02,17.220999460169338,29.758250718448252,997.626845742292
Ourinhos e Avaré,SP,1975-07-02,15.04506883313579,27.509074570030293,1340.6887718939013
Paraná,PR,1975-07-02,15.668608977606421,27.547686840358534,1582.7387159247148
Pernambuco,PE,1975-07-02,18.48050651550293,27.970222619863655,1025.5962505634016
Pinhal,SP,1975-07-02,14.680082284487211,27.081250850970928,1397.3228149414062
Planalto Central,DF,1975-07-02,16.160450758757413,27.679968904565882,1225.6794207537616
Planalto de Vitória da Conquista,BA,1975-07-02,17.330386391857214,27.190453755228145,769.9435009872705
Rondônia,RO,1975-07-02,19.971552560211983,30.86913476627909,2636.5062758042427
Serrana de Itiruçu/Brejões,BA,1975-07-02,17.42672825968543,26.22657702689947,976.1267629224201
Serrana do Rio de Janeiro,RJ,1975-07-02,14.76704242182713,25.723771525364295,1407.752721449908
Sul de Minas,MG,1975-07-02,13.411804776763915,26.224843295288085,1347.16777890625
Sul do Rio de Janeiro,RJ,1975-07-02,15.27098895341922,26.547610943134014,1412.6319861778845
Acre,AC,1976-07-01,19.18762903357271,30.863251348236698,1997.5972198026263
Alta Mogiana,SP,1976-07-01,15.95437240600586,26.80746657272865,2069.9637303845634
Atlântico Baiano,BA,1976-07-01,19.80151311447631,27.902856722269973,1332.3787504570669
Campo das Vertentes,MG,1976-07-01,14.732598949881162,25.307268114650952,1494.8064593146828
Caparaó,ES,1976-07-01,13.881804582549304,25.455830783378786,1229.7332882764863
Ceará,CE,1976-07-01,20.008415164369524,30.153009645866625,869.1426903310448
Cerrado Mineiro,MG,1976-07-01,15.973621251913825,28.12558578704455,1428.9554202630652
Chapada Diamantina,BA,1976-07-01,16.606512718484304,27.026566189904194,573.4492186365518
Chapada de Minas,MG,1976-07-01,17.075235202558524,28.727492961679914,826.1906564732888
Conilon Capixaba,ES,1976-07-01,18.62102391101696,29.14363875212493,1129.9455702039932
Goiás,GO,1976-07-01,16.778163118500196,28.748664323246498,1567.0881620012165
Mantiqueira de Minas,MG,1976-07-01,12.090269308823805,24.651251095991867,1941.6720557579627
Marília e Garça,SP,1976-07-01,16.01034681532118,27.825630315144856,1744.493617078993
Matas de Minas,MG,1976-07-01,15.137075264137108,26.63720737804066,1221.5820303963615
Matas de Rondônia,RO,1976-07-01,19.713726021586986,30.49420381076094,2012.2041670204937
Mato Grosso,MT,1976-07-01,18.500356615266163,30.96978164831597,1862.5653913577298
Montanhas de Minas,MG,1976-07-01,16.100561722776945,26.88541893492964,1371.6564437751483
Montanhas do Espírito Santo,ES,1976-07-01,15.8336892191569,26.23886594136556,1302.8777213541666
Média Mogiana,SP,1976-07-01,14.2041596537051,25.261206419571586,2033.1730532438858
Noroeste/Norte do Rio de Janeiro,RJ,1976-07-01,18.428485628924793,28.493197598034822,1214.4765200071697
Norte Pioneiro do Paraná,PR,1976-07-01,14.876722092324115,26.638650014890846,1755.5120840951906
Norte e Noroeste de Minas,MG,1976-07-01,16.629377272393967,29.91273100287826,1594.0028952139396
Oeste da Bahia,BA,1976-07-01,17.553304600843134,30.04080646943281,1047.897673662971
Ourinhos e Avaré,SP,1976-07-01,14.881119010269002,26.027285401539135,1783.9236955540155
Paraná,PR,1976-07-01,14.935728753867902,26.673763240638532,1653.8799346120734
Pernambuco,PE,1976-07-01,17.988947266798753,28.03390866793119,707.906240609976
Pinhal,SP,1976-07-01,14.63901871901292,25.81687252338116,1952.62888277494
Planalto Central,DF,1976-07-01,16.341711892022026,27.354727109273274,1462.1407809787327
Planalto de Vitória da Conquista,BA,1976-07-01,17.58525169523139,27.645980383220472,561.2525725782963
Rondônia,RO,1976-07-01,19.972310922272452,30.68364615632568,1982.8857529653012
Serrana de Itiruçu/Brejões,BA,1976-07-01,17.560141452523165,27.179191101429073,700.833963438522
Serrana do Rio de Janeiro,RJ,1976-07-01,15.184352912154852,25.671662012736004,1509.6537990196077
Sul de Minas,MG,1976-07-01,13.827135820007324,25.326498046875,1681.191329296875
Sul do Rio de Janeiro,RJ,1976-07-01,15.605804785704,25.96543585948455,1531.2155104417068
Acre,AC,1977-07-02,19.81611278668121,31.07064547850259,2201.468846153374
Alta Mogiana,SP,1977-07-02,17.07350647038427,27.81994865680563,1657.9686805462015
Atlântico Baiano,BA,1977-07-02,20.156638663653368,26.80743668612824,1633.776874977704
Campo das Vertentes,MG,1977-07-02,16.24558173908907,24.47554610757267,1220.0525961483227
Caparaó,ES,1977-07-02,14.684741624971716,25.367841069291277,1309.8771913109756
Ceará,CE,1977-07-02,20.463680074672506,29.555706467291323,1163.4817239780618
Cerrado Mineiro,MG,1977-07-02,17.264034050098363,28.334376418072246,1224.3102067588031
Chapada Diamantina,BA,1977-07-02,16.841450797580876,26.674982191461613,953.5100258752759
Chapada de Minas,MG,1977-07-02,17.422916895639005,27.51878402275547,940.4193226878754
Conilon Capixaba,ES,1977-07-02,18.7685733989433,29.44823681866681,1143.3590342203777
Goiás,GO,1977-07-02,17.691666090277952,28.747255083454554,1484.2990187741398
Mantiqueira de Minas,MG,1977-07-02,12.366713193746714,24.595316189986008,1449.665271465595
Marília e Garça,SP,1977-07-02,16.99479365878635,29.43469564649794,1535.912752278646
Matas de Minas,MG,1977-07-02,15.723437949494048,26.48155024335101,1086.1303177413406
Matas de Rondônia,RO,1977-07-02,20.113680471890216,30.87540538069131,2054.686915123981
Mato Grosso,MT,1977-07-02,19.221923236438034,31.110879151246888,2107.136880535496
Montanhas de Minas,MG,1977-07-02,16.44785020942975,27.228206835295026,1142.5630182251894
Montanhas do Espírito Santo,ES,1977-07-02,16.300546684265136,25.616083017985027,1184.2986116536458
Média Mogiana,SP,1977-07-02,15.18225329855214,26.669819292814836,1530.8166357952616
Noroeste/Norte do Rio de Janeiro,RJ,1977-07-02,18.747971353651604,29.14816390411763,1173.7458009357695
Norte Pioneiro do Paraná,PR,1977-07-02,16.080153357052634,28.069241530506325,1216.355813317265
Norte e Noroeste de Minas,MG,1977-07-02,17.60690215340367,30.299485312567818,1303.6690281055592
Oeste da Bahia,BA,1977-07-02,17.905979202392903,29.120964595978272,1040.7674413670832
Ourinhos e Avaré,SP,1977-07-02,16.534847382576235,27.54207492131059,1396.5045625420028
Paraná,PR,1977-07-02,15.98178647850689,28.245693740091827,1447.957394650108
Pernambuco,PE,1977-07-02,18.846298657930813,27.327013309185322,1105.9375939002405
Pinhal,SP,1977-07-02,15.517752390641432,27.192762815035305,1522.0154559795674
Planalto Central,DF,1977-07-02,16.72578544969912,27.829496136418097,1200.3269675925926
Planalto de Vitória da Conquista,BA,1977-07-02,17.426437570337665,26.918035799996893,775.7706914533649
Rondônia,RO,1977-07-02,20.379391967373174,30.958887112422854,2142.8388055665937
Serrana de Itiruçu/Brejões,BA,1977-07-02,18.076723808466003,26.74477535070375,881.6904225903888
Serrana do Rio de Janeiro,RJ,1977-07-02,16.268419284446566,25.20523733251235,1406.4639641256892
Sul de Minas,MG,1977-07-02,14.392848171234132,25.738459100341796,1374.630509765625
Sul do Rio de Janeiro,RJ,1977-07-02,16.503195615915153,26.666264998607147,1278.9430933243189
Acre,AC,1978-07-02,19.636792851452853,30.921384593350204,2189.4199148206853
Alta Mogiana,SP,1978-07-02,15.786648437894623,27.012897129716546,1603.843558475889
Atlântico Baiano,BA,1978-07-02,19.713579264949992,27.10235991107819,1512.5572855352812
Campo das Vertentes,MG,1978-07-02,14.637865753734813,25.798337992499857,1380.297228644876
Caparaó,ES,1978-07-02,14.259522298487221,25.240046059213032,1267.2953922923018
Ceará,CE,1978-07-02,20.39840694388958,30.232016187725645,942.6835900508996
Cerrado Mineiro,MG,1978-07-02,16.5401237331809,27.91688040620792,1643.5049082122234
Chapada Diamantina,BA,1978-07-02,16.5908832620954,25.34944225155288,1158.5428838907121
Chapada de Minas,MG,1978-07-02,16.72919030919194,27.225562982796774,1247.429525637372
Conilon Capixaba,ES,1978-07-02,19.170936619793927,28.897023271631312,1367.9993048773872
Goiás,GO,1978-07-02,17.19774609469296,28.64722877980044,1608.7755603086125
Mantiqueira de Minas,MG,1978-07-02,10.864157878435575,25.663814544677734,1435.3395690917969
Marília e Garça,SP,1978-07-02,16.076744439866808,29.092877197265626,1212.3430230034721
Matas de Minas,MG,1978-07-02,15.340173554587198,26.279743941513807,1243.402418443373
Matas de Rondônia,RO,1978-07-02,19.97621549523395,30.80656543676404,2359.9638990319295
Mato Grosso,MT,1978-07-02,19.829115706464233,31.02878570436379,2160.4880728992207
Montanhas de Minas,MG,1978-07-02,16.031954582472494,26.521798610687256,1338.4400796531734
Montanhas do Espírito Santo,ES,1978-07-02,15.984585660298665,25.37378049214681,1363.5591536458332
Média Mogiana,SP,1978-07-02,14.209248128144637,26.445323425790537,1314.046142578125
Noroeste/Norte do Rio de Janeiro,RJ,1978-07-02,18.541600867162778,28.4483878703057,1056.6751098632812
Norte Pioneiro do Paraná,PR,1978-07-02,15.054490495235362,27.7459502389245,1184.818258082613
Norte e Noroeste de Minas,MG,1978-07-02,17.13773504892985,29.812667466976023,1480.9067591914425
Oeste da Bahia,BA,1978-07-02,17.436855685902152,28.57374971563166,1452.156392143372
Ourinhos e Avaré,SP,1978-07-02,14.827021537288543,27.44539342900758,1267.6084286269322
Paraná,PR,1978-07-02,15.807238514486112,28.192912860920554,1142.684245862459
Pernambuco,PE,1978-07-02,18.34662273113544,27.708395591148964,959.6392662635217
Pinhal,SP,1978-07-02,14.572252383598915,27.079208374023438,1289.1609309269832
Planalto Central,DF,1978-07-02,16.05037524965074,26.960058318244087,1419.022784197772
Planalto de Vitória da Conquista,BA,1978-07-02,17.222492172006977,26.15958227191055,988.0881816127844
Rondônia,RO,1978-07-02,20.197744900342826,30.891412871660364,2289.1176443069467
Serrana de Itiruçu/Brejões,BA,1978-07-02,17.747778193895208,26.055132023123807,1140.6919051769169
Serrana do Rio de Janeiro,RJ,1978-07-02,15.231576190275305,25.836521223479625,1318.745190190334
Sul de Minas,MG,1978-07-02,13.30313264541626,25.957364486694335,1448.3633958984376
Sul do Rio de Janeiro,RJ,1978-07-02,15.590610479697203,26.464101987007336,1245.2728834885818
Acre,AC,1979-07-02,19.572284053917507,31.283560645041153,1911.2478179164868
Alta Mogiana,SP,1979-07-02,15.75637883153455,26.826472413950953,1678.8634454135238
Atlântico Baiano,BA,1979-07-02,19.678734156639063,27.4265784868911,1368.7671762405464
Campo das Vertentes,MG,1979-07-02,14.540253414827234,25.5047931951635,1662.5209153119256
Caparaó,ES,1979-07-02,14.324746271459068,25.257970298208843,1784.0545088605184
Ceará,CE,1979-07-02,20.57959801259667,31.132898311422327,656.5976026130445
Cerrado Mineiro,MG,1979-07-02,16.18640180552228,28.292367171056522,1662.4763462864341
Chapada Diamantina,BA,1979-07-02,16.541097109202557,26.307480716350796,843.7782291001104
Chapada de Minas,MG,1979-07-02,16.417202984141284,27.218033731535236,1485.6163928700512
